Geneid	Blood	1 hour	2 hours	4 hours	6 hours
POLR2H	41.66666667	332.3333333	863	900	1543.666667
POLR3B	25.33333333	82.66666667	193	295	361.3333333
POLR3H	27.66666667	144	403.6666667	446.3333333	695
POMGNT1	51	298.3333333	739.3333333	920.6666667	1258
PON1	0	9.666666667	33.33333333	36.33333333	44.33333333
PON2	15.66666667	1256.333333	3746.333333	4971.333333	6644
PON3	0	108	326.6666667	358.6666667	501
POP1	5.333333333	48.33333333	92.66666667	136.6666667	267
PORCN	28	111.3333333	276	315.6666667	583
PPA1	36.33333333	519.3333333	1518.333333	1867.666667	2574.333333
PPARG	2.666666667	110	397.3333333	677.3333333	722.6666667
PPARGC1A	0	8	28	31.33333333	48.33333333
PPAT	11.33333333	121.3333333	358	562.3333333	769.6666667
PPDPF	59.66666667	541.6666667	1047.333333	1336.333333	1896.666667
PPFIA3	4.666666667	49.33333333	146	161	229
PPFIBP1	6.333333333	111.6666667	395	581.3333333	604
PPIA	401	1899.666667	4289	5326	7793.333333
PPIAP22	50.66666667	286.6666667	759.3333333	955	1323
PPIC	0	33	141.6666667	140	256.6666667
PPIH	25	92.33333333	165.6666667	211.3333333	293.3333333
PPIL1	10	127	397.6666667	589	808
PPIL3	32.66666667	105	256.6666667	340	445.6666667
PPIL6	2	16.33333333	36.66666667	40	51.66666667
PPME1	101.6666667	440	1041.666667	1297	1741.666667
PPP1R13B	36	166	468	633.6666667	600
PPP1R13L	8	239.6666667	621.6666667	829.6666667	929
PPP1R14B	16.66666667	458.6666667	997	1248	1585.333333
PPP1R14BP3	29.66666667	113.6666667	199.6666667	216	331.3333333
PPP1R14C	0.666666667	133.3333333	380.3333333	510.6666667	565
PPP1R1C	0	19	52.33333333	118.3333333	68.66666667
PPP1R26	13.33333333	123.3333333	373	447.6666667	627
PPP1R3C	0	47.66666667	89.66666667	110	120
PPP1R9A	0.666666667	275	1063.666667	1491.333333	1395.666667
PPP5C	35.66666667	247	608	870	911.6666667
PPRC1	58.33333333	297	862.6666667	1231.666667	1407.333333
PRADC1	7.333333333	52.33333333	109.6666667	121.6666667	180.3333333
PRB3	0	5.666666667	5	7.333333333	6.333333333
PRC1	11.66666667	287.3333333	499.6666667	653.3333333	661
PRDM15	26.66666667	88.33333333	145	172	281
PRDX1	29.66666667	498.6666667	1414	2072	2884.333333
PRDX4	4.666666667	162.6666667	407.3333333	542.3333333	773.6666667
PRELID2	0.333333333	19	39.66666667	81.33333333	90.33333333
PRIM1	9.333333333	31.33333333	66.33333333	83.33333333	109.3333333
PRIM2	12.66666667	39	101.6666667	147.6666667	225
PRKCI	46.66666667	192.6666667	581	875	887.3333333
PRKG2	1.333333333	18	49.66666667	67.66666667	94
PRMT1	113.6666667	482	1076	1384.666667	2012.333333
PRMT3	29.66666667	130	365.6666667	466.6666667	663.3333333
PRMT8	0	4	4.666666667	6.666666667	9.333333333
PRNP	86	433.3333333	1343	2160.666667	2204
PROB1	3.333333333	24.66666667	49.33333333	69.33333333	137
PROM2	0.666666667	298.3333333	950.6666667	1536.333333	1983
PROS1	9	577	2011.333333	2924	3125.333333
PROSER2	2	48.33333333	142	220	236.6666667
PRPF19	88.33333333	459.3333333	1318.333333	1461	2294.666667
PRPF40B	10.33333333	80.33333333	205.6666667	287.6666667	306.3333333
PRR11	36.33333333	211.6666667	304.3333333	443.3333333	408
PRR15L	0.666666667	212.3333333	720.3333333	974	1146
PRR36	0	20.66666667	46.66666667	131.6666667	92.33333333
PRRC1	70.33333333	256	701	1132.666667	1551.666667
PRRG2	2	32.66666667	107	132	163.6666667
PRSS16	1.333333333	32.66666667	125.6666667	173.6666667	285.6666667
PRSS22	7.333333333	185.3333333	562.6666667	690.6666667	2127
PRSS23	11.66666667	380	1275	1681.333333	2252
PRSS27	2.333333333	30.33333333	69	72.33333333	122.3333333
PRSS44	0	3.333333333	11.33333333	13	14
PRSS8	6.666666667	937	2878.666667	3794.666667	4736.666667
PRX	2	48.66666667	140	220.3333333	254
PRXL2A	5.333333333	177.3333333	550	752.3333333	1014.333333
PSAT1	3.333333333	277.3333333	980.3333333	1224	1792.666667
PSCA	0.333333333	53.66666667	143.6666667	138.3333333	221
PSD3	8.666666667	137	424.6666667	618.6666667	780.6666667
PSEN2	13	71.33333333	177.3333333	218.3333333	339
PSMB5	48.66666667	275.3333333	792.6666667	830.3333333	1398.666667
PSMC2	90.66666667	510.6666667	1479.333333	1911.333333	2411.666667
