Geneid	Blood	1 hour	2 hours	4 hours	6 hours	10 hours
MPHOSPH10	68	292	735.666666666667	1244.33333333333	1060	878.481478212141
MPRIP	676.666666666667	3582.33333333333	9438.66666666667	11859.3333333333	14823	11953.6573919355
MRM1	6.66666666666667	37.3333333333333	75	90.6666666666667	176.333333333333	166.788095366778
MRPL18	54.3333333333333	223	620	816	993	704.271786443634
MRPL2	30.3333333333333	125.666666666667	293.333333333333	382.333333333333	535.333333333333	514.371073082004
MRPL24	29	239.333333333333	763	934.666666666667	1338.66666666667	865.493286447042
MRPL36	14	71.3333333333333	198.666666666667	253.666666666667	356.333333333333	355.747709413407
MRPL39	12.6666666666667	113.333333333333	309.666666666667	395	511	364.369143135767
MRPL4	13	95.3333333333333	249.333333333333	295	498.666666666667	480.693560256529
MRPL40	18	98.6666666666667	237	296	414	405.36019522604
MRPL45	17.3333333333333	177	539.333333333333	824.666666666667	950.333333333333	781.491226775557
MRPL47	47	192.333333333333	476	727.666666666667	769	676.378121854762
MRPL48	12.3333333333333	143.666666666667	465.333333333333	591.666666666667	783.333333333333	539.547401537679
